PROP  C1     C2     C3     C4     C5     C6     C7-9   C10-11 C12-14 C15+
PC     40.0   48.2   42.01  37.47  33.31  29.92  26.253 23.184 19.987 12.5544
VC      0.099  0.148  0.200  0.255  0.311  0.368  0.4657 0.5694 0.6901 0.9648
TC    194.446 305.43 369.9  425.2  469.6  507.9  573.45 637.79 685.75 748.331
AC       0.013   0.0986 0.1524 0.2010 0.2539 0.3007 0.3613 0.4501 0.5339 0.7244
MW       16.043  30.070 44.097 58.124 72.151 86.178 114.43 144.83 177.78 253.63
VS  -0.21701 0.     0.     0.     0.     0.   0.25845  0.20522 0.16454 0.094711
HYD  1       1      1      1      1      1      1      1      1      1
