PROP  C1      C15+      C2      C12-14   C3       C10-11   C4       C7-9     C5      C6
PC    40.0    12.5544      48.2    19.987  42.01   23.184  37.47    26.253  33.31   29.92
VC    0.099    0.9648     0.148   0.6901  0.200   0.5694  0.255    0.4657  0.311   0.368
TC    194.446   748.331    305.43   685.75 369.9   637.79  425.2    573.45  469.6   507.9
AC    0.013     0.7244    0.0986   0.5339 0.1524   0.4501 0.2010   0.3613 0.2539  0.3007
MW    16.043    253.63    30.070   177.78 44.097   144.83 58.124   114.43 72.151  86.178
VS    -0.21701  0.094711  0.0     0.16454 0.0    0.20522  0.0      0.25845    0.0     0.0
HYD   1           1       1       1       1       1       1       1       1       1
