PROP  CO2              N2-C2           C3-NC5          FC6-10          FC11+
PC    7.2800000E+01    4.6228332E+01   3.8078095E+01   2.8558733E+01   9.5224453E+00
VC    9.4000000E-02    1.0424371E-01   2.4474052E-01   4.3108204E-01   1.8042584E+00
TC    3.0420000E+02    2.0456552E+02   4.1230453E+02   5.7419563E+02   7.7358237E+02
AC    2.2500000E-01    1.8342038E-02   1.8594637E-01   3.5844896E-01   1.1685566E+00
MW    4.4010000E+01    1.7669165E+01   5.5616380E+01   1.1013043E+02   4.3084812E+02
VS   -9.4346720E-02   -1.4592270E-01  -5.5891394E-02   4.3420850E-02   1.6723321E-01
HYD       0                1               1               1               1
